skills,profession
"Лечение ран, Коммуникация с владельцами животных, Питание животных, Ведение документации, Хирургические процедуры, Фармакология животных, Копирайтинг, Публичные выступления, Лабораторные исследования, Интерпретация рентгеновских снимков, Вакцинация",Ветеринар
"Работа под давлением, Грамотная речь, Scala, Работа с офисной техникой, Хранилища данных, Облачное хранение",Инженер данных
"Risk Assessment, Работа с SOC, Межсетевые экраны, Обеспечение соответствия стандартам, Шифрование данных, Penetration Testing, Linux Security, Базовые юридические знания, Реагирование на инциденты, Обеспечение безопасности облаков, Управление конфликтами",Специалист по кибербезопасности
"Деловая переписка, Управление конфликтами, Составление вакансий, Публичные выступления, Организация обучения, Адаптация сотрудников, Проведение собеседований, Решение конфликтов, Мониторинг рынка труда, Развитие бренда работодателя, Работа с LinkedIn",HR-специалист
"Обнаружение вторжений, Обеспечение соответствия стандартам, Обучаемость, Обеспечение безопасности облаков, Навыки деловых переговоров, Гибкость мышления, Penetration Testing, Конфигурация фаерволов, Шифрование данных",Специалист по кибербезопасности
"Обратная связь сотрудникам, Подбор персонала, Развитие бренда работодателя",HR-специалист
"Заключение сделок, Навыки продаж, Контроль качества",Менеджер по продажам
"Навыки исследования, Wireframing, JIRA, Scrum, Определение MVP, Коммуникация с заинтересованными сторонами, Agile-методологии, Основы UX",Продуктовый менеджер (IT)
"Решение проблем, Экономия топлива, Разработка предложений, Оборонительное вождение, Крепление грузов, Базовые юридические знания, Дальние поездки, Понимание основ маркетинга",Водитель
"Отчетность для руководства, Составление аналитических отчетов, Анализ отчетности, Анализ денежных потоков, Работа с BI-платформами, Оценка рисков, Организационные навыки, Публичные выступления",Финансовый аналитик
"Базовые навыки работы с данными, Организационные навыки, Excel, SQL, Power BI, A/B тестирование, Аналитическое мышление",Аналитик данных
"Express.js, MongoDB, Грамотная речь, Node.js, Python, Kubernetes, Docker, Django, PostgreSQL, SQL, Микросервисы",Бэкенд-разработчик
"Email-маркетинг, Google Analytics, Наставничество, Маркетинг в социальных сетях, Управление кампаниями, SEO, Управление конфликтами, Копирайтинг, PPC-кампании",Маркетолог
"Коммуникабельность, Креативность, Работа в команде, Сервировка столов, Работа с POS-системами, Прием заказов",Официант
"Контроль инфекций, Базовая сердечно-легочная реанимация, Экстренная помощь, Ведение документации, Ведение социальных сетей, Командная работа, Уход за ранами, Навыки исследования, Мониторинг жизненных показателей, Уход за пациентами, Педиатрический уход",Медсестра
"Геймдизайн, Самостоятельность, Сетевые функции для игр",Разработчик мобильных игр
"Отпуск рецептурных препаратов, Поддержание выкладки, Продажа товаров для здоровья, Соблюдение правил хранения, Управление товарными запасами, Работа с кассой, Многозадачность, Соблюдение санитарных норм, Управление конфликтами",Фармацевт-консультант
"Дизайн интерьеров, 3D-моделирование, Клиентоориентированность, Консультации клиентов, Управление проектами, Гибкость мышления",Архитектор
"Разработка мотивационных программ, Мониторинг рынка труда, Базовые навыки работы с данными, Решение конфликтов, Навыки коммуникации, Развитие бренда работодателя, Управление HR-системами, Оценка кандидатов, Подбор персонала",HR-специалист
"Организация кейтеринга, Подготовка продуктов, Разработка рецептов, Приготовление соусов, Координация команды, Самостоятельность, Контроль качества, Управление изменениями, Выпечка",Повар
"Рассказывание историй через данные, SQL, Excel, Клиентоориентированность, Очистка данных, Бизнес-анализ",Аналитик данных
"SQL, Node.js, Express.js, REST API, React, HTML, Работа в команде",Фулстек-разработчик
"Kubernetes, Микросервисы, Контроль качества, Архитектура бэкенда, Express.js, Python",Бэкенд-разработчик
"Управление воронкой продаж, Проведение презентаций, Анализ потребностей клиентов, Работа с возражениями, Навыки продаж, Навыки продаж, Многозадачность, Постпродажное сопровождение, Ведение переговоров, CRM-системы, Заключение сделок",Менеджер по продажам
"Планирование уроков, Детская психология, Организационные навыки, Стратегическое мышление, Проведение презентаций, Подготовка к экзаменам",Учитель
"Машинное обучение, Pandas, Spark, Нейронные сети, Работа в команде",Data Scientist
"Управление конфликтами, Дистанционное обучение, Разрешение конфликтов, Управление классом, Создание учебных материалов, Самостоятельность, Образовательные технологии, Разработка учебных программ",Учитель
"Архитектурное проектирование, Градостроительство, Консультации клиентов, Строительные нормы, Грамотная речь, SketchUp, Управление проектами",Архитектор
"Построение долгосрочных отношений, Ведение клиентской базы, Работа с возражениями, Постпродажное сопровождение, Холодные звонки, Работа под давлением, Планирование встреч, CRM-системы, Навыки продаж, Управление воронкой продаж, Активные продажи",Менеджер по продажам
"Решение проблем, Определение MVP, JIRA, Дорожная карта продукта, Работа с кросс-функциональными командами, Wireframing, Основы UX, Коммуникация с заинтересованными сторонами, Деловая переписка",Продуктовый менеджер (IT)
"Анализ данных, Базовые навыки работы с данными, Agile-методологии, JIRA, Анализ рынка, Дорожная карта продукта, Бизнес-анализ, Wireframing, Наставничество",Продуктовый менеджер (IT)
"Node.js, Соблюдение сроков, Python, Разработка новых идей, Архитектура бэкенда, Подготовка отчетов",Бэкенд-разработчик
"3D-моделирование, Планирование участков, Рабочая документация, Управление проектами, Поддержание документооборота, AutoCAD, Конструктивные системы, Дизайн интерьеров, Экологическое проектирование, Консультации клиентов",Архитектор
"Профессионализм, Мужские стрижки, Санитарные нормы, Окрашивание волос, Химические обработки, Удержание клиентов, Эмоциональный интеллект",Парикмахер
"Навыки продаж, Kubernetes, Ansible, Развертывание в облаке, Работа в международной среде, Jenkins, Мониторинг, Основы сетей, Azure, Docker, Инфраструктура как код, AWS",Инженер DevOps
"Управление пациентскими страхами, Поддержание документооборота, Постановка целей, Обучение гигиене полости рта, Профилактика заболеваний, Эстетическая стоматология, Диагностика заболеваний зубов, Оформление документации, Лечение кариеса, Удаление зубов, Консультация пациентов, Навыки исследования, Проведение анестезии",Стоматолог
"Ораторское искусство, Инклюзивное образование, Дистанционное обучение, Творческое преподавание, Проведение презентаций, Оценка учащихся, Управление классом, Детская психология, Подготовка к экзаменам",Учитель
"Коммуникабельность, Dart, Jetpack Compose",Мобильный разработчик
"Навыки коммуникации, Разработка мотивационных программ, Решение конфликтов, Навыки деловых переговоров",HR-специалист
"Монтаж гипсокартона, Каркасное строительство, Монтаж строительных лесов, Подготовка площадки, Чтение чертежей, Умение работать удаленно, Эксплуатация тяжелой техники, Подготовка отчетов",Строитель
"Agile-методологии, Wireframing, Работа с кросс-функциональными командами, Дорожная карта продукта, Scrum, Исследование пользователей, Определение MVP, Клиентоориентированность",Продуктовый менеджер (IT)
"MongoDB, Node.js, REST API, Системы аутентификации, GraphQL, Навыки исследования, TypeScript, JavaScript",Фулстек-разработчик
"Маркетинговые исследования, Контент-маркетинг, Обучаемость, Работа с офисной техникой, Копирайтинг, Сегментация клиентов, Цифровая реклама, Управление кампаниями, Google Analytics, PPC-кампании, Генерация лидов",Маркетолог
"Разработка предложений, Навыки письма, Постановка целей, Последовательный перевод",Переводчик
"Работа в команде, Windows Server, Безопасность сетей, Настройка фаерволов, Виртуализация серверов, Групповые политики",Системный администратор
"Вечерние прически, Разработка предложений, Санитарные нормы, Удержание клиентов, Мужские стрижки, Отслеживание трендов, Обратная связь сотрудникам, Окрашивание волос, Профессионализм, Консультация клиентов",Парикмахер
"Точность перевода, Соблюдение конфиденциальности, Управление временем, Организационные навыки, Исследование терминологии, Локализация, Редактирование текстов, Работа с офисной техникой, Навыки письма, Культурные особенности",Переводчик
"Последовательный перевод, Соблюдение конфиденциальности, Точность перевода, Редактирование текстов, Финансовая грамотность, Технический перевод, Синхронный перевод, Исследование терминологии, Использование CAT-Tools, Публичные выступления",Переводчик
"Push-уведомления, Kotlin, Разработка для iOS, Android Studio, CoreData, Ведение социальных сетей, Firebase, Flutter, React Native, Разработка новых идей",Мобильный разработчик
"Бухгалтерский учет, Работа в команде, Бюджетирование, Управление денежными потоками, Дебиторская задолженность, Управление заработной платой, Финансовый анализ",Бухгалтер
"GraphQL, React, CSS, Управление конфликтами, Адаптивная верстка, Работа в команде, SQL, Копирайтинг, Node.js, MongoDB, Express.js",Фулстек-разработчик
"Контроль веса, Проведение презентаций, Работа в команде, Обучение здоровому образу жизни, Силовые тренировки, Использование фитнес-оборудования",Фитнес-тренер
"Работа с возражениями, Аналитическое мышление, Установление контакта, Работа в команде, CRM-системы, Заключение сделок, Анализ потребностей клиентов",Менеджер по продажам
"Аналитика угроз, Реагирование на инциденты, Основы компьютерной криминалистики, Соответствие стандартам (GDPR, HIPAA), Навыки продаж, Проведение тестов на проникновение, Облачная безопасность, Оценка рисков, Разработка политик безопасности",Специалист по информационной безопасности
"Статистика, Визуализация данных, Ответственность, Работа с офисной техникой, Финансовая грамотность, Python, Очистка данных",Аналитик данных
"Координация мероприятий, Контроль затрат, Коммуникабельность, Работа под давлением, Планирование меню, Подготовка продуктов, Нарезка овощей",Повар
"Отчетность по багам, Разработка новых идей, Коммуникабельность, Проектирование тест-кейсов, Тестирование API, Анализ производительности, Работа в команде, Автоматизированное тестирование, Регрессионное тестирование",Инженер по тестированию ПО
"Договорное право, Регуляторное соответствие, Подготовка отчетов",Юрист
"Культурные особенности, Исследование терминологии, Точность перевода, Соблюдение конфиденциальности, Использование CAT-Tools, Навыки исследования, Последовательный перевод, Навыки письма, Бизнес-переписка, Юридический перевод, Редактирование текстов",Переводчик
"Customer Journey Mapping, Работа с JIRA, Деловая переписка, Работа с метриками продукта, Google Analytics, Data Storytelling, Решение проблем, Когортный анализ, Базовые навыки работы с данными, Работа с SQL, Создание дашбордов, A/B тестирование",Аналитик по продукту
"Распределение ресурсов, Scrum Master, Управление заинтересованными сторонами, Планирование спринтов, Управление сроками, Разрешение конфликтов, Соблюдение сроков",Руководитель проектов
"Работа с офисной техникой, Формирование коллекций, Авторское право, Обслуживание пользователей, Обмен ресурсами, Стандарты метаданных, Навыки продаж, Каталогизация, Управление библиотечными системами",Библиотекарь
"Маркетинг в социальных сетях, Ответственность, Разработка предложений, Email-маркетинг, Google Analytics, SEO, Цифровая реклама",Маркетолог
"Регрессионное тестирование, Нагрузочное тестирование, Анализ производительности, Выполнение тестов, Автоматизированное тестирование, Отчетность по багам, Selenium, Клиентоориентированность, Управление дефектами",Инженер по тестированию ПО
"Клиентоориентированность, Вакцинация, Стратегическое мышление, Постановка диагноза, Первая помощь, Мониторинг состояния, Анализ анамнеза, Медицинская этика, Работа с офисной техникой, Клинические исследования, Управление стационаром, Основы радиологии",Врач
"Python, Docker, Hadoop, Базовые навыки работы с данными, SQL, Cloud Storage, Data Lake Architecture, ETL-пайплайны, Airflow, Оптимизация запросов, Понимание основ маркетинга, Big Data",Инженер по данным
"SIEM-системы, Обеспечение безопасности облаков, Межсетевые экраны, Шифрование данных, Реагирование на инциденты, Навыки исследования, Контроль доступа, Обнаружение вторжений, Контроль качества",Специалист по кибербезопасности
"Многозадачность, Деловая переписка, Проведение презентаций, Знание меню, Работа в команде",Официант
"Введение лекарств, Клинические процедуры, Обучение пациентов, Ведение социальных сетей",Медсестра
"Проведение презентаций, Дизайн персонажей, 3D-моделирование, Дизайн уровней",Гейм-дизайнер
"Деловая переписка, Хирургические процедуры, Соблюдение ветеринарных стандартов, Управление анестезией, Работа в международной среде, Лечение ран, Вакцинация",Ветеринар
"Аналитика запросов, Обновление систем, Управление приоритетами, Установка ПО, Коммуникация с клиентами, Настройка оборудования, Техническая поддержка ПО, Диагностика проблем, Копирайтинг",Инженер технической поддержки
"Управление запасами, Гриль, Санитарные нормы, Грамотная речь, Координация команды, Соблюдение сроков, Подготовка продуктов, Планирование меню, Кулинарные техники, Выпечка, Безопасность на кухне",Повар
"Понимание схем баз данных, Data Validation, Проверка качества данных, Самомотивация, Создание отчетов об ошибках, Визуализация данных",Специалист по качеству данных
"Реабилитация после операций, Гибкость мышления, Оценка подвижности, Массаж, Оценка физического состояния, Проведение физиопроцедур, Работа с ортопедическими проблемами, Работа с травмированными пациентами, Публичные выступления, Подготовка отчетов",Физиотерапевт
"Деловая переписка, Лабораторные исследования, Управление анестезией, Вакцинация, Ведение документации, Хирургические процедуры, Уход за животными, Питание животных",Ветеринар
"Agile-методологии, JIRA, Ведение социальных сетей, Сбор требований, Стратегическое планирование, Анализ разрывов, UML, SWOT-анализ, Коммуникация с заинтересованными сторонами",Бизнес-аналитик
"Сетевые технологии, Резервное копирование, Грамотная речь, Системы мониторинга, VMware, Администрирование Linux, Безопасность сетей",Системный администратор
"Копирайтинг, A/B тестирование, Контент-маркетинг, Эмоциональный интеллект",Маркетолог
"Анализ конкурентов, Навыки продаж, Навыки продаж, Проведение переговоров, Навыки исследования",Менеджер по развитию бизнеса
"Машинное обучение, SQL, Pandas, Работа под давлением, Инженерия признаков",Data Scientist
"Очистка данных, Понимание основ маркетинга, Визуализация данных, Работа с офисной техникой, SQL, Tableau, A/B тестирование, Статистика, Excel, Бизнес-анализ",Аналитик данных
"Risk Assessment, Тайм-менеджмент, Penetration Testing, Навыки продаж, Контроль доступа, Аудит безопасности, Анализ уязвимостей, Конфигурация фаерволов, Работа с SOC",Специалист по кибербезопасности
"Проведение презентаций, Работа с GPS, Ведение записей, Решение проблем, Знание ПДД, Дальние поездки, Самостоятельность, Оборонительное вождение, Правила дорожного движения",Водитель
"Навыки продаж, Планирование меню, Клиентоориентированность, Санитарные нормы",Повар
"Обратная связь сотрудникам, Стратегическое мышление, Массаж, Многозадачность, Укрепление мышц",Физиотерапевт
"Навыки допродажи, Разрешение конфликтов, Тайм-менеджмент, Безопасность пищевых продуктов, Навыки исследования, Соблюдение чистоты, Участие в мозговых штурмах, Организационные навыки, Сервировка столов, Обслуживание клиентов, Навыки коммуникации, Многозадачность",Официант
"Ортопедическая стоматология, Проведение анестезии, Диагностика заболеваний зубов, Консультация пациентов, Управление пациентскими страхами, Управление конфликтами, Удаление зубов, Протезирование, Гибкость мышления, Профилактика заболеваний, Обучение гигиене полости рта",Стоматолог
"Python, Нейронные сети, Навыки деловых переговоров, Инженерия признаков, SQL, Numpy, Статистика, Машинное обучение, PyTorch, Глубокое обучение",Data Scientist
"Архитектурное проектирование, Оценка стоимости, Рабочая документация, AutoCAD, Управление проектами, SketchUp, Координация мероприятий, Экологическое проектирование, Грамотная речь, Градостроительство, Конструктивные системы, Управление конфликтами",Архитектор
"Навыки деловых переговоров, Objective-C, Постановка целей, Dart, Jetpack Compose, Креативность, Xcode, Android Studio, React Native, Flutter",Мобильный разработчик
"Консультирование клиентов, Креативность, Навыки ведения переговоров, Умение работать удаленно, Оценка рисков, Гражданское право, Юридические исследования, Регуляторное соответствие, Судебные разбирательства, Право интеллектуальной собственности",Юрист
"Аналитическое мышление, Документирование решений, Техническая поддержка ПО, Диагностика проблем, Работа в команде, Контроль качества, Удаленная помощь",Инженер технической поддержки
"Первая помощь, Коммуникация с пациентом, Организационные навыки, Осмотр пациента, Медицинская этика, Экстренная помощь",Врач
"Решение проблем, Базовая сердечно-легочная реанимация, Разработка новых идей, Мониторинг жизненных показателей, Поддержка психического здоровья, Уход за ранами, Введение лекарств, Ответственность",Медсестра
"Самостоятельность, CSS, React, SASS, Bootstrap, Основы UI/UX, Vue.js, Redux, Базовые навыки работы с данными, Адаптивная верстка, GraphQL",Фронтенд-разработчик
"Финансовая грамотность, Отпуск рецептурных препаратов, Управление товарными запасами, Продажа товаров для здоровья, Работа с кассой, Поддержание выкладки, Соблюдение санитарных норм, Оформление заказов, Копирайтинг, Проведение презентаций, Консультирование покупателей",Фармацевт-консультант
"Оптимизация моделей, TensorFlow, Нейронные сети, Компьютерное зрение, AWS, Навыки деловых переговоров, Машинное обучение",Инженер машинного обучения
"Kafka, Публичные выступления, Scala, SQL, Python",Инженер данных
"Моделирование бизнес-процессов, Самомотивация, Коммуникация с заинтересованными сторонами, Оптимизация рабочих процессов, Сбор требований, Стратегическое планирование, Confluence, UML, Анализ разрывов, Scrum, Wireframing",Бизнес-аналитик
"Геймдизайн, C#, Работа с SDK для мобильных платформ, Интеграция рекламы, Профилирование приложений, Анимация, Оптимизация производительности, Создание уровней, Разработка для Android, Деловая переписка, Unity",Разработчик мобильных игр
"Docker, Helm, Инфраструктура как код, Аналитическое мышление, Azure, Управление временем",Инженер DevOps
"Node.js, Адаптивная верстка, REST API, Лидерские качества, Системы аутентификации, GraphQL",Фулстек-разработчик
"Мониторинг рынка труда, Управление временем, Управление HR-системами, Управление конфликтами, Оценка кандидатов, Грамотная речь, Составление вакансий, Развитие бренда работодателя, Проведение собеседований",HR-специалист
"Кровельные работы, Асфальтирование, Подготовка площадки, Организационные навыки, Строительная безопасность, Чтение чертежей, Управление изменениями, Бетонные работы, Каркасное строительство, Плотницкие работы, Эксплуатация тяжелой техники, Стратегическое мышление, Поддержание чистоты на рабочем месте",Строитель
"Обучаемость, HTML, Креативность, Участие в мозговых штурмах, React, GraphQL, REST API",Фулстек-разработчик
"Безопасность сетей, Виртуализация серверов, Настройка фаерволов, Bash-скрипты, Облачная инфраструктура, Подготовка отчетов, Групповые политики, VMware, Active Directory, Системы мониторинга",Системный администратор
"Эмоциональный интеллект, Макетирование, InDesign, Теория цвета, Illustrator, Брендинг, Figma, Базовые навыки работы с данными",Графический дизайнер
"Работа в международной среде, Участие в мозговых штурмах, Архитектура микросервисов, Проектирование систем, Azure, Аналитическое мышление, Балансировка нагрузки, Лучшие практики безопасности",Системный архитектор
"Введение лекарств, Навыки деловых переговоров, Терапия внутривенных вливаний, Уход за пожилыми людьми, Экстренная помощь, Педиатрический уход, Обратная связь сотрудникам, Эмоциональный интеллект, Контроль инфекций",Медсестра
"Планирование бюджета, Наставничество, Мониторинг качества, Управление графиком, Контроль за сроками, Оценка рисков, Составление отчетов, Коммуникация с командами, Планирование ресурсов, Контроль выполнения задач, Организация встреч",Координатор проектов
"Обучаемость, Наставничество, Маркетинговые исследования, Финансовая грамотность, Email-маркетинг",Маркетолог
"Развитие партнерств, Стратегическое планирование, Самомотивация, Грамотная речь",Менеджер по развитию бизнеса
"Рабочая документация, Работа под давлением, Чтение чертежей, Лидерские качества, Строительные нормы, Дизайн интерьеров",Архитектор
"Python, Умение работать удаленно, Визуализация данных, Соблюдение сроков, PyTorch, Статистика, Нейронные сети",Data Scientist
"Гибкость мышления, Детская психология, Образовательные технологии, Отслеживание прогресса, Мотивация учеников, Планирование уроков, Инклюзивное образование, Разрешение конфликтов, Решение проблем",Учитель
"HTML, Redux, Webpack, Навыки продаж, Управление временем",Фронтенд-разработчик
"Санитарные нормы, Контроль качества, Окрашивание волос, Уход за кожей головы, Вечерние прически, Наращивание волос",Парикмахер
"Бизнес-анализ, Основы ETL, Отчетность, Лидерские качества, Excel, Отслеживание KPI, Умение работать удаленно, Стратегическое мышление, Pandas",Аналитик данных
"Командная работа, Управление конфликтами, Уход за ранами, Терапия внутривенных вливаний, Уход за пациентами, Ведение документации, Педиатрический уход, Деловая переписка, Клинические процедуры",Медсестра
"Поиск информации, Работа под давлением, Постановка целей, Управление библиотечными системами, Обслуживание пользователей, Сохранение фондов, Каталогизация, Организационные навыки",Библиотекарь
"Координация мероприятий, Jenkins, Стратегическое мышление, Развертывание в облаке, Тайм-менеджмент",Инженер DevOps
"Креативность, Оптимизация сцен, UX для VR/AR, SDK виртуальной реальности, Программирование шейдеров, Лидерские качества",Разработчик VR/AR
"Kubernetes, Управление временем, Навыки деловых переговоров, REST API, SQL, Django, Java, Микросервисы, Python, Разработка API, Express.js, Архитектура бэкенда",Бэкенд-разработчик
"Docker, Креативность, Поддержание документооборота, Понимание основ маркетинга, Python",Бэкенд-разработчик
"Мониторинг качества, Аналитическое мышление, Ведение социальных сетей, Копирайтинг, Работа с JIRA/Asana, Организация встреч",Координатор проектов
"Микросервисы, Spring Boot, Координация мероприятий, SQL, Django, Разработка предложений, MongoDB",Бэкенд-разработчик
"Знание меню, Самостоятельность, Профессиональный внешний вид, Соблюдение чистоты, Эмоциональный интеллект, Навыки коммуникации, Работа в команде, Навыки деловых переговоров",Официант
"Управление сделками, Построение стратегии выхода на рынок, Оценка эффективности, Навыки продаж, Работа с CRM, Построение сети контактов, Базовые юридические знания",Менеджер по развитию бизнеса
"SQL, Публичные выступления, Python, Tableau, Бизнес-анализ, Рассказывание историй через данные, Контроль качества, Управление временем, Power BI, Основы ETL, Pandas, A/B тестирование, Очистка данных",Аналитик данных
"A/B тестирование, Анализ данных, Навыки продаж, Копирайтинг, Дорожная карта продукта",Продуктовый менеджер (IT)
"Цифровые библиотеки, Работа в команде, Авторское право, Участие в мозговых штурмах, Обслуживание пользователей, Формирование коллекций, Поиск информации, Управление конфликтами, Каталогизация, Маркетинг библиотеки, Стандарты метаданных",Библиотекарь
"Лечение ран, Ведение документации, Интерпретация рентгеновских снимков, Хирургические процедуры, Вакцинация, Фармакология животных, Изучение поведения животных, Грамотная речь, Соблюдение сроков, Соблюдение ветеринарных стандартов, Уход за животными",Ветеринар
"Python, Airflow, Проектирование баз данных, Kafka, Обучаемость, Организационные навыки, Hadoop, Apache Spark, Оптимизация запросов, Cloud Storage, Data Lake Architecture, Соблюдение сроков",Инженер по данным
"Создание учебных материалов, Подготовка к экзаменам, Дистанционное обучение, Соблюдение сроков, Творческое преподавание, Мотивация учеников, Отслеживание прогресса, Детская психология",Учитель
"Соблюдение сроков, Вечерние прически, Наставничество, Стратегическое мышление, Химические обработки, Техники укладки феном, Окрашивание волос",Парикмахер
"Оценка психического здоровья, Кризисное вмешательство, Когнитивно-поведенческая терапия, Терапевтическая коммуникация, Конфиденциальность пациента, Поведенческая терапия, Управление стрессом, Базовые юридические знания, Детская психология, Групповая терапия",Психолог
"Создание дашбордов, Работа с JIRA, Решение проблем, Создание отчетов, Метрики конверсии, Когортный анализ, Работа с BI-инструментами, A/B тестирование",Аналитик по продукту
"SQL, Навыки исследования, Анализ данных",Специалист по качеству данных
"HTML, Аналитическое мышление, MongoDB, REST API, SQL, Тайм-менеджмент, CSS, Webpack, Django, Лидерские качества, TypeScript, GraphQL, Node.js",Фулстек-разработчик
"Финансовый анализ, Гибкость мышления, Дебиторская задолженность, Регуляторное соответствие, Бухгалтерский учет, Подготовка к аудиту, QuickBooks, Финансовая отчетность, Копирайтинг, Налогообложение, Управление денежными потоками, Самомотивация, Бюджетирование",Бухгалтер
"Ведение социальных сетей, Активные продажи, CRM-системы, Заключение сделок, Навыки исследования, Базовые навыки работы с данными, Планирование встреч",Менеджер по продажам
